Actual,Predicted
1826.6,1807.2191
1835.2,1798.7146
1836.2,1812.6833
1840.8,1801.9944
1868.0,1822.8729
1854.8,1847.1484
1870.2,1806.4332
1900.7,1832.2136
1898.6,1868.3962
1906.1,1860.7747
1909.2,1869.3717
1925.1,1867.8365
1886.5,1887.519
1899.4,1831.8335
1942.4,1883.5278
1920.9,1939.2393
1934.4,1871.4395
1965.1,1891.4991
1993.9,1938.7427
2040.1,1937.8569
1985.9,1978.5842
1998.1,1891.0723
1982.7,1925.4677
1959.6,1912.7379
1928.5,1867.23
1908.0,1856.9581
1942.1,1841.6339
1928.2,1891.49
1928.6,1851.6552
1920.7,1843.474
1936.6,1826.1116
1961.6,1861.6584
1953.8,1877.7925
1939.6,1829.1827
1912.0,1823.0631
1933.5,1804.5134
1949.2,1845.8597
1919.1,1850.689
1929.2,1801.8726
1922.9,1819.463
1918.4,1790.1418
1933.8,1797.1671
1941.6,1815.4185
1944.3,1808.1636
1972.1,1804.401
1981.0,1856.6316
1970.9,1842.4987
1982.9,1795.6313
1955.7,1827.0522
1952.3,1773.0725
1944.9,1799.291
1931.0,1770.7849
1893.2,1788.0822
1901.4,1753.8308
1885.9,1791.7368
1888.7,1757.5485
1909.3,1766.2584
1861.8,1780.81
1868.8,1710.1198
1867.0,1757.7134
1874.0,1718.1088
1881.2,1712.225
1857.1,1724.206
1839.9,1714.3838
1852.6,1707.9728
1823.8,1744.5344
1807.4,1683.1111
1813.5,1657.6893
1818.2,1687.3444
1815.9,1655.3235
1841.2,1689.6746
1841.8,1711.0775
1847.8,1703.5504
1865.1,1689.6172
1846.2,1742.7255
1847.4,1688.051
1851.3,1704.1672
1842.7,1698.4021
1843.3,1679.5089
1866.5,1679.7294
1845.4,1717.4806
1839.2,1648.5665
1847.5,1649.5164
1851.9,1675.8556
1848.8,1653.3821
1871.5,1653.4692
1828.0,1690.3191
1809.5,1595.4949
1815.3,1624.8158
1845.7,1649.6332
1835.6,1708.8599
1834.6,1678.4272
1834.3,1677.3783
1825.7,1694.2697
1826.5,1688.9825
1820.9,1679.5387
1817.5,1665.9329
1813.7,1662.5128
1804.1,1675.7202
1798.9,1681.8137
1761.8,1661.8643
1734.9,1651.2585
1737.9,1613.2169
1740.6,1610.5957
1730.0,1602.4644
1723.3,1598.7327
1734.2,1608.8071
1704.5,1630.6483
1702.4,1540.2739
1709.2,1578.0834
1710.0,1563.1838
1699.5,1552.4224
1712.7,1514.5083
1727.1,1585.6343
1719.0,1577.8749
1717.7,1532.5521
1719.1,1567.1699
1750.3,1563.4882
1762.9,1637.4257
1769.0,1619.4597
1771.1,1640.9883
1758.0,1619.5908
1788.5,1599.2812
1772.9,1664.1528
1786.8,1575.7688
1794.0,1667.6759
1795.6,1626.445
1789.7,1634.6018
1798.6,1577.3284
1781.4,1627.7067
1773.2,1578.424
1760.3,1569.1075
1755.3,1549.2626
1747.6,1554.515
1734.0,1516.1488
1746.8,1514.6337
1747.8,1555.4076
1757.7,1515.4713
1736.1,1559.238
1736.6,1511.9928
1723.2,1524.4924
1712.8,1511.9341
1696.6,1494.509
1709.8,1460.5752
1700.4,1532.7234
1715.3,1467.314
1708.0,1549.357
1716.2,1485.9506
1728.1,1515.4276
1705.0,1520.3351
1696.5,1472.8639
1665.4,1478.9156
1671.7,1456.033
1666.2,1488.1356
1659.7,1465.329
1664.6,1449.777
1670.8,1480.7191
1645.3,1454.8125
1623.3,1452.4551
1626.7,1422.0085
1660.4,1437.1511
1658.5,1518.599
1662.4,1456.7804
1692.9,1495.6984
1721.1,1578.8243
1711.4,1555.5662
1711.7,1482.1223
1700.5,1515.9465
1667.3,1478.018
1678.7,1459.5112
1670.3,1485.6833
1670.0,1474.1635
1641.7,1450.6592
1657.0,1420.267
1649.0,1478.8474
1627.5,1456.7684
1630.8,1417.7777
1651.0,1424.7482
1648.7,1464.0905
1652.8,1437.6156
1664.0,1469.7887
1660.7,1473.4708
1639.6,1490.2521
1635.9,1424.4403
1645.0,1420.1547
1645.7,1444.0983
1627.3,1420.3894
1672.5,1420.7494
1676.5,1460.9993
1712.1,1426.4547
1710.1,1504.6625
1750.3,1466.6729
1766.0,1573.216
1773.6,1529.2672
1773.8,1543.2778
1773.0,1538.9785
1760.8,1567.2334
1751.9,1510.4036
1737.4,1519.363
1738.3,1495.9178
1744.9,1508.12
1753.3,1506.8713
1740.1,1520.6439
1748.4,1500.1047
1746.0,1498.0964
1801.1,1509.5962
1795.9,1609.1344
1767.4,1551.1785
1769.3,1538.0776
1785.5,1600.0076
1788.7,1618.7633
1798.1,1591.8651
1780.5,1600.4375
1813.9,1565.4899
1807.5,1649.5544
1777.2,1604.2975
1790.0,1556.1992
1787.7,1615.5724
1815.9,1586.5068
1815.9,1637.3307
1787.0,1600.7283
1795.9,1568.5049
1814.8,1581.9653
1807.9,1587.7922
1819.5,1588.7063
1819.7,1624.7067
1839.7,1597.0375
1852.8,1675.0308
1834.8,1657.5203
1864.2,1642.7673
1872.7,1720.817
1871.6,1700.5045
1874.6,1684.4304
1895.5,1702.2305
1918.4,1738.9675
1907.2,1741.5084
1904.4,1710.0994
1922.1,1743.2673
1926.4,1755.135
1927.1,1739.4127
1933.9,1731.7559
1941.2,1764.4144
1929.1,1762.223
1928.6,1742.983
1922.9,1740.865
1929.5,1749.4547
1927.8,1761.6351
1916.3,1767.1406
1862.9,1750.2634
1866.2,1668.7325
1871.7,1708.7188
1877.4,1705.9215
1866.2,1723.7388
1862.8,1692.1586
1851.9,1691.2521
1854.0,1689.473
1834.2,1684.546
1842.0,1649.214
1840.4,1675.9186
1833.0,1675.1223
1832.0,1656.3644
1818.0,1670.7501
1808.8,1645.762
1817.0,1617.5927
1828.9,1643.1901
1837.7,1660.385
1833.5,1643.1951
1847.7,1621.0913
1847.9,1658.5138
1813.9,1641.7444
1812.7,1572.1877
1829.3,1618.7711
1862.0,1653.1259
1911.7,1731.5072
1906.2,1797.9006
1926.6,1735.9265
1919.0,1795.7235
1969.8,1754.3417
1979.2,1868.9255
1938.0,1823.4465
1946.8,1744.6526
1993.8,1802.2291
1982.1,1853.902
1952.4,1817.1033
1972.4,1757.4901
1966.1,1804.2997
1980.3,1780.687
1969.0,1802.1642
1983.9,1781.1886
2022.2,1805.2618
2020.9,1863.0032
2011.9,1835.9413
1989.1,1827.901
2004.8,1778.4702
2010.9,1824.8535
2041.3,1824.7507
2002.2,1858.5912
1994.2,1766.0818
2007.4,1768.6855
1995.2,1796.5967
2007.6,1766.8789
1979.5,1802.2207
1989.1,1751.3783
1994.0,1789.6326
1985.7,1792.1906
1989.9,1779.8969
1990.1,1777.684
1983.4,1786.4685
2014.3,1750.3087
2028.6,1840.5312
2048.0,1831.0737
2017.4,1862.3888
2026.3,1786.376
2036.2,1800.4386
2030.5,1819.3542
2014.7,1814.5244
2014.5,1781.5328
2018.0,1787.9681
1988.4,1787.3137
1980.7,1739.4341
1956.5,1745.787
1978.7,1696.4452
1974.8,1750.4238
1972.4,1730.6799
1962.8,1729.0421
1943.1,1707.499
1944.1,1680.322
1958.0,1716.428
1963.9,1733.8396
1978.0,1742.8281
1952.4,1747.6764
1958.0,1662.7328
1965.5,1696.4589
1942.7,1696.2655
1963.6,1636.5106
1962.2,1715.3846
1955.3,1676.3215
1944.6,1663.8376
1955.3,1644.4624
1957.8,1684.9851
1958.4,1668.9197
1935.5,1665.6389
1933.3,1633.6027
1912.7,1642.8203
1919.1,1600.5447
1923.7,1645.8478
1914.0,1646.3258
1912.3,1612.6024
1909.2,1644.6893
1921.1,1592.8125
1921.7,1649.2
1919.6,1623.2007
1908.7,1616.0034
1926.2,1582.3158
1925.0,1633.7102
1931.3,1606.665
1956.2,1608.5358
1959.2,1677.3934
1960.1,1661.657
1952.4,1646.079
1977.2,1646.8026
1977.5,1677.448
1968.3,1667.249
1964.3,1620.4303
1960.3,1657.0238
1962.1,1634.934
1968.9,1646.5032
1945.4,1675.3374
1960.4,1584.0013
1970.5,1652.7509
1940.7,1651.3617
1937.4,1568.8693
1932.0,1602.2766
1939.6,1574.4094
1933.5,1633.227
1924.1,1559.344
1915.4,1575.8904
1914.4,1578.4597
1912.9,1573.4941
1910.6,1535.987
1902.5,1539.508
1896.1,1522.696
1884.1,1519.8126
1886.1,1500.3451
1893.3,1532.474
1896.4,1523.0691
1918.5,1551.4532
1918.2,1594.9622
1911.1,1553.034
1917.9,1525.953
1936.5,1553.4093
1944.3,1593.3004
1938.2,1568.4752
1939.8,1565.4108
1926.2,1546.5947
1918.1,1512.9487
1917.5,1521.8785
1918.4,1519.29
1923.3,1510.985
1911.3,1520.2472
1909.1,1499.7264
1910.0,1521.1837
1923.7,1510.1394
1931.5,1539.6632
1932.0,1534.5604
1945.6,1514.8228
1919.2,1556.6566
1925.4,1487.2002
1916.6,1550.1179
1900.4,1487.1847
1871.6,1484.7836
1860.4,1444.5046
1848.1,1459.6171
1830.0,1448.4962
1824.6,1430.8584
1818.5,1420.9867
1816.6,1425.7045
1830.2,1421.9268
1849.5,1461.3445
1861.0,1468.4253
1872.8,1499.5701
1869.3,1507.161
1927.4,1480.9299
1921.1,1614.3235
1922.7,1509.2166
1955.3,1498.0558
1968.4,1563.9805
1982.5,1552.8066
1976.3,1567.6
1975.0,1535.5297
1984.1,1558.4525
1987.2,1557.7169
1988.6,1532.3518
1996.2,1523.6985
1985.2,1560.639
1978.8,1523.2751
1985.6,1550.8573
1991.5,1538.9103
1981.6,1540.548
1966.8,1527.3073
1951.5,1538.3116
1964.2,1533.3547
1932.6,1534.6254
1945.5,1517.0563
1961.8,1544.9497
1960.1,1564.6537
1983.9,1542.1584
1981.6,1598.4972
1977.7,1547.275
1999.3,1548.881
1991.4,1593.3634
2002.2,1576.4884
2011.8,1593.3334
2039.7,1611.2339
2047.1,1630.4763
2038.1,1632.7395
2071.0,1596.441
2024.1,1681.281
2018.5,1577.5458
2030.5,1641.9004
2029.9,1658.3784
1998.3,1633.2991
1978.0,1569.0021
1977.8,1589.4705
1982.3,1597.9056
2030.2,1632.4407
2021.1,1716.5455
2026.3,1645.1926
2038.4,1656.0751
2034.5,1685.5391
2039.1,1701.4813
2057.1,1690.8254
2058.2,1714.6888
2081.9,1701.2549
2073.9,1748.2721
2062.4,1707.892
2064.4,1709.0265
2034.2,1707.1515
2042.3,1663.795
2042.4,1682.0756
2026.6,1677.3341
2026.4,1669.2924
2021.7,1661.4967
2014.3,1657.6521
2046.7,1639.1323
2026.0,1706.7544
2002.6,1634.7808
2018.6,1622.8235
2026.5,1671.3877
2019.8,1669.1647
2023.7,1655.3148
2013.9,1640.1259
2016.9,1645.5568
2016.8,1649.445
2025.2,1626.2424
2031.5,1678.5565
2048.4,1683.4441
2053.0,1704.889
2036.1,1711.5118
2025.7,1637.3108
2034.5,1644.1099
2035.2,1695.951
2032.2,1674.1871
2023.3,1663.5956
2018.2,1647.1788
1992.9,1640.1217
1990.3,1558.6821
2002.1,1614.6202
2011.5,1626.6542
2027.5,1616.8961
2022.3,1641.8071
2019.7,1596.9915
2038.6,1595.781
2028.5,1644.3196
2034.0,1594.443
2033.0,1626.7341
2045.7,1600.8206
2086.9,1616.7311
2117.7,1682.6631
2133.5,1692.047
2150.3,1704.5647
2158.0,1705.5634
2178.6,1692.7129
2182.5,1726.4457
2160.4,1745.072
2175.4,1681.2809
2163.0,1708.8922
2157.3,1637.4124
2160.7,1664.0934
2156.3,1648.7672
2157.9,1634.8622
2182.4,1634.1013
2158.1,1671.4948
2174.8,1627.6444
2175.6,1654.067
2190.6,1641.8177
2217.4,1656.0555
2236.5,1683.5078
2261.0,1671.6896
2294.4,1714.3135
2288.8,1744.4757
2325.7,1700.163
2331.7,1740.4053
2343.5,1730.0636
2329.6,1758.2903
2354.8,1689.6611
2356.2,1753.5941
2365.8,1742.0659
2390.8,1719.0875
2371.7,1744.053
2382.3,1701.5894
2398.4,1712.7522
2332.2,1765.5895
2327.7,1610.9039
2324.5,1680.2716
2329.8,1665.8015
2334.8,1659.6012
2345.4,1677.696
2291.4,1687.5714
2299.9,1552.1909
2299.2,1645.0181
2299.0,1636.572
2321.6,1652.0177
2315.2,1706.1705
2313.6,1677.437
2332.1,1659.0609
2367.3,1703.2191
2336.1,1712.7365
2353.4,1648.8413
2388.7,1707.8079
2380.0,1764.1299
2412.2,1706.3102
2433.9,1780.2537
2421.7,1794.523
2389.2,1747.5276
2335.0,1691.2089
2332.5,1636.9285
2355.2,1686.6029
2340.3,1730.0874
2342.9,1685.6996
2322.9,1696.3693
2346.6,1637.0887
2325.5,1702.616
2354.1,1658.408
2370.3,1749.5596
2305.2,1766.4817
2307.7,1577.2233
2307.5,1662.145
2336.0,1652.9965
2300.2,1716.5122
2331.4,1615.4805
2312.4,1713.9694
2330.4,1651.0035
2353.8,1704.8905
2316.4,1723.8773
2330.0,1621.3745
2316.6,1682.6613
2299.2,1652.4684
2324.5,1634.9017
2327.7,1697.2031
2327.6,1670.0494
2323.0,1649.3287
2359.8,1652.516
2388.5,1722.5443
2355.2,1741.0304
2360.1,1663.6133
2372.2,1712.4341
2415.0,1735.1887
2414.0,1787.3081
2422.9,1740.77
2462.4,1764.4337
2454.8,1837.8535
2451.8,1794.9935
2395.5,1779.0018
2392.0,1715.6433
2404.6,1744.9434
2413.3,1765.6549
2351.9,1772.5052
2380.0,1694.6798
2377.3,1806.3271
2405.0,1767.9005
2426.5,1795.7809
2435.0,1834.2233
